Device Type,Device Name,Device Size
Guiding Catheter,JL4,
Guiding Catheter,JL3.5,
Guiding Catheter,JR3.5,
Guiding Catheter,JR4,
Guiding Catheter,XB3.5,
Guiding Catheter,XB4,
Guiding Catheter,EBU3.5,
Guiding Catheter,EBU4,
Guiding Catheter,AL1,
Guiding Catheter,AL2,
Guiding Catheter,AR1,
Guiding Catheter,AR2,
Guiding Catheter,3DRC,
Stent,Resolute Integrity,2.5×14
Stent,Resolute Integrity,2.5×18
Stent,Resolute Integrity,2.5×22
Stent,Resolute Integrity,2.5×26
Stent,Resolute Integrity,2.5×30
Stent,Resolute Integrity,2.75×14
Stent,Resolute Integrity,2.75×18
Stent,Resolute Integrity,2.75×22
Stent,Resolute Integrity,2.75×26
Stent,Resolute Integrity,2.75×30
Stent,Resolute Integrity,3.00×15
Stent,Resolute Integrity,3.00×18
Stent,Resolute Integrity,3.00×22
Stent,Resolute Integrity,3.00×26
Stent,Resolute Integrity,3.00×30
Stent,Resolute Integrity,3.00×34
Stent,Resolute Integrity,3.00×38
Stent,Resolute Integrity,3.5×15
Stent,Resolute Integrity,3.5×18
Stent,Resolute Integrity,3.5×22
Stent,Resolute Integrity,3.5×26
Stent,Resolute Integrity,3.5×30
Stent,Resolute Integrity,3.5×34
Stent,Resolute Integrity,3.5×38
Stent,Resolute Integrity,4.00×15
Stent,Resolute Integrity,4.00×18
Stent,Resolute Integrity,4.00×22
Stent,Resolute Integrity,4.00×26
Stent,Resolute Integrity,4.00×30
Stent,Resolute Integrity,4.00×34
Stent,Resolute Integrity,4.00×38
Stent,Ultimaster Tansai,2.5×12
Stent,Ultimaster Tansai,2.5×15
Stent,Ultimaster Tansai,2.5×18
Stent,Ultimaster Tansai,2.5×21
Stent,Ultimaster Tansai,2.5×24
Stent,Ultimaster Tansai,2.5×28
Stent,Ultimaster Tansai,2.5×33
Stent,Ultimaster Tansai,2.5×38
Stent,Ultimaster Tansai,2.75×12
Stent,Ultimaster Tansai,2.75×15
Stent,Ultimaster Tansai,2.75×18
Stent,Ultimaster Tansai,2.75×21
Stent,Ultimaster Tansai,2.75×24
Stent,Ultimaster Tansai,2.75×28
Stent,Ultimaster Tansai,2.75×33
Stent,Ultimaster Tansai,2.75×38
Stent,Ultimaster Tansai,3.00×12
Stent,Ultimaster Tansai,3.00×15
Stent,Ultimaster Tansai,3.00×18
Stent,Ultimaster Tansai,3.00×21
Stent,Ultimaster Tansai,3.00×24
Stent,Ultimaster Tansai,3.00×28
Stent,Ultimaster Tansai,3.00×33
Stent,Ultimaster Tansai,3.00×38
Stent,Ultimaster Tansai,3.5×12
Stent,Ultimaster Tansai,3.5×15
Stent,Ultimaster Tansai,3.5×18
Stent,Ultimaster Tansai,3.5×21
Stent,Ultimaster Tansai,3.5×24
Stent,Ultimaster Tansai,3.5×28
Stent,Ultimaster Tansai,3.5×33
Stent,Ultimaster Tansai,3.5×38
Stent,Ultimaster Tansai,4.00×12
Stent,Ultimaster Tansai,4.00×15
Stent,Ultimaster Tansai,4.00×18
Stent,Ultimaster Tansai,4.00×21
Stent,Ultimaster Tansai,4.00×24
Stent,Ultimaster Tansai,4.00×28
Stent,Ultimaster Tansai,4.00×33
Stent,Ultimaster Tansai,4.00×38
Stent,Promus Elite,2.50×12
Stent,Promus Elite,2.50×16
Stent,Promus Elite,2.50×20
Stent,Promus Elite,2.50×24
Stent,Promus Elite,2.50×28
Stent,Promus Elite,2.50×32
Stent,Promus Elite,2.50×38
Stent,Promus Elite,2.75×12
Stent,Promus Elite,2.75×16
Stent,Promus Elite,2.75×20
Stent,Promus Elite,2.75×24
Stent,Promus Elite,2.75×28
Stent,Promus Elite,2.75×32
Stent,Promus Elite,2.75×38
Stent,Promus Elite,3.00×12
Stent,Promus Elite,3.00×16
Stent,Promus Elite,3.00×20
Stent,Promus Elite,3.00×24
Stent,Promus Elite,3.00×28
Stent,Promus Elite,3.00×32
Stent,Promus Elite,3.00×38
Stent,Promus Elite,3.50×12
Stent,Promus Elite,3.50×16
Stent,Promus Elite,3.50×20
